symbol,time,assets,owner,shares,underlying,caller,tx,chain,contract,block
vTHOR,1654342876,362.9911642,0x80D2385Fd501bf477AE60B544346b15D316C9Ba3,323.1604242,0xa5f2211B9b8170F694421f2046281775E8468044,0x80D2385Fd501bf477AE60B544346b15D316C9Ba3,0x65288b4e58c43ba734c79298f97655589f475b6adcdd169e1784138746f2c683,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14903053
xMPL,1654185869,20.00000003,0x84458e797bffF51f466AB41140B0D6EB1f9c08ab,19.98430921,0x33349B282065b0284d756F0577FB39c158F935e6,0x84458e797bffF51f466AB41140B0D6EB1f9c08ab,0xddb560502a5d659aba02683b2dd806fa42397878753d1ca048e929254b05af40,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14891926
xMPL,1654246542,96.19550004,0xcE559b89E331d0Efa7fC31C335bA41c9149437dd,96.10890317,0x33349B282065b0284d756F0577FB39c158F935e6,0xcE559b89E331d0Efa7fC31C335bA41c9149437dd,0x3a520923c1de0b6d936f627dd1d7c5cdc835e2e4518860265770c44f5ed73616,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14896210
vTHOR,1654343649,72245.02304,0x3bD36911EB7Fd87E41f7bFeD093D4E2927a85d5F,64317.63248,0xa5f2211B9b8170F694421f2046281775E8468044,0x3bD36911EB7Fd87E41f7bFeD093D4E2927a85d5F,0x13cd84d660f224a1852f62c058d4443968e34880137c94c847240a9d1e33a4e1,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14903109
xMPL,1654305223,28274.34544,0x3177316Da12302f080887997e5748600295f2EF9,28246.05221,0x33349B282065b0284d756F0577FB39c158F935e6,0x3177316Da12302f080887997e5748600295f2EF9,0x863b108b99305aa93d9ab37564c4e2fc9a62e89f530a3c8e4c9ab48dbaa32ab7,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14900410
xMPL,1654246638,300,0x73463c8bE64D10367730774c212C7BE5178e6B04,299.729881,0x33349B282065b0284d756F0577FB39c158F935e6,0x73463c8bE64D10367730774c212C7BE5178e6B04,0xe8a1c16e02b7dfb1418ad5625095ed693dbb47dfbbffd2adf9085e1772badd06,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14896216
vTHOR,1654345934,480,0x134f82cbF191E85548ed3089b4377c3fE05C694f,427.3299709,0xa5f2211B9b8170F694421f2046281775E8468044,0x134f82cbF191E85548ed3089b4377c3fE05C694f,0xc366641aab9dc05179b5a763d837d5a9a815fcee20f5f932caf87bbaacb9b15c,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14903274
xMPL,1654307219,21.49434092,0x5eaE1aD9b2aB0aC6d0725CDFA41816093A56717e,21.47276868,0x33349B282065b0284d756F0577FB39c158F935e6,0x5eaE1aD9b2aB0aC6d0725CDFA41816093A56717e,0x126fe5b7a17fea04b7f0e2a60391277c166abbe0f39175f49fb26f5316c18ced,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14900560
vTHOR,1654346589,9409.730325,0x82C9Edd653E89efbf5b23E27109fA61baFFfCe59,8377.207887,0xa5f2211B9b8170F694421f2046281775E8468044,0x82C9Edd653E89efbf5b23E27109fA61baFFfCe59,0x744305368410ca811438b68b9523af70eba40abc35694e82d4561234f19e3c62,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14903317
xMPL,1654310474,321.07154,0x9187FaBcC888CDFA00D836B81f4BcaD10C2Bb784,320.7477573,0x33349B282065b0284d756F0577FB39c158F935e6,0x9187FaBcC888CDFA00D836B81f4BcaD10C2Bb784,0xde0af58e897a70b49d315aea277fd42c10d7026b6e0952de626490162521f9f5,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14900787
uCVX,1654311127,117.5482402,0x6FE0c1530acd0D6616ED3d1Ea6374d53ea2Fba9e,117.4399824,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0xa866ec6b76cf2d4c7fa3ca316ba21e1f70abd182e80f2dde3a3aaf3fba073af0,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14900836
uCVX,1654346672,324.08,0x4432e64624F4c64633466655de3D5132ad407343,323.7815338,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x500c717568d734c611f0e36faf551a826a3b19c5fc9a984d13dfde42de09e7ef,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14903319
